说话人,文本内容,source
刘倩,所以故意这样对你呢？,4
顾梦瑶,那怎么办呀？,4
刘倩,那就看谁耗得过谁了，,4
刘倩,等他耗不过你了，,4
刘倩,就知道这招对你没有用。,4
刘倩,到时候他一定加倍对你好。,4
顾梦瑶,那我就不理他了，,4
顾梦瑶,我可不是随随便便的女孩子，,4
顾梦瑶,哪有那么好追。,4
刘倩,没错，,4
刘倩,一定要让他知道男人的自尊心是最可笑的东西。,4
顾梦瑶,对。,4
许野,来喽，,5
许野,来，,5
许野,趁着先喝一口来，来，公司的项目刚结束，,5
许野,我最近要不在家里教你做饭吧，,5
许野,以后少点点外卖，吃多了对身体也不好，是吧？,5
顾梦瑶,许野，,5
顾梦瑶,你什么意思啊？,5
顾梦瑶,我告诉你，,5
顾梦瑶,我在家里就没有做过饭，,5
顾梦瑶,凭什么嫁给了你，就要做饭啊？,5
许野,我我不是这个意思，,5
许野,我哎。,5
许野,爸妈快来吃饭了，一会上班迟到了啊。,5
许野,来，妈。来，爸。,5
张虹,老许快喝，,5
许野,只是一碗粥，,5
许野,就能让他们这么开心。,5
许野,可我以前却总是把坏脾气给家里人，,5
许野,把好脾气给顾梦瑶，真是鬼迷心窍了。,5
许野,妈，爸，我先出去一趟。,5
张虹,老许，来，吃。,5
许野,驾照报了，暑期工找了，,5
许野,银行股票也开户了。,5
许野,接下来就是多积攒些原始资金进入股市了，,5
许野,赚钱才是王道嗯，,5
NPC,青青。,5
陈寒松,青青！,6
陈青青,你说话,6
陈寒松,他是谁呀？,6
陈青青,我男朋友，抓紧点。,6
陈寒松,青青，,6
陈寒松,你别胡闹，,6
陈寒松,你怎么可能有男朋友呢？,6
陈青青,我为什么不能有男朋友，,6
陈青青,我有没有男朋友，,6
陈青青,你知道吗？,6
陈青青,你都不管我，我们走。,6
陈寒松,青青。,6
陈青青,王姨，去商场。,6
王姨,好，,6
段鹏,行长，,6
段鹏,您回来了。,6
陈寒松,刚那男的是谁？,6
陈寒松,来咱们银行干嘛？,6
段鹏,他叫许野，,6
段鹏,刚才在咱们银行开通证券账户，,6
段鹏,说是想买股票。,6
陈寒松,年纪轻轻的，,6
陈寒松,还想炒股赚钱，,6
陈寒松,真是白日做梦。,6
陈寒松,江美琳，,6
陈寒松,你女儿谈恋爱的事儿是真的还是假的？,6
江美琳,谈恋爱？,6
江美琳,陈寒松，,6
江美琳,你在说什么呀？,6
许野,然后呢，,7
许野,刚才那是你爸呀，,7
陈青青,跟你没关系。,7
许野,闹呢，,7
许野,前面停车，我还要去赚钱呢，,7
许野,没功夫陪你玩。,7
陈青青,一万，陪我一天。,7
许野,好嘞。,7
许野,扫码还是现金。,7
许野,你爸妈是不是离婚了？,7
陈青青,你是怎么知道的？,7
许野,我没别的意思啊，,7
许野,这是我刚才推测出来的。,7
许野,刚才明明是你抓着我的手，,7
许野,你手心里却全是手汗，,7
许野,这说明你是一个戒备性很强的人，,7
许野,再结合你刚刚跟你爸说话的态度，,7
许野,这很容易就推测出来了。,7
陈青青,你不去当侦探，,7
陈青青,还真是可惜了。,7
许野,今天你生日，,7
许野,你爸妈没有时间陪你，,7
许野,所以你有报复他们的心思，,7
许野,要不要我帮你把这场戏演完。,7
陈青青,需要。,7
许野,那走呗，去游乐场，,7
许野,然后拍照片发朋友圈呃，,7
许野,提前说好啊，,7
许野,那个游乐场还有吃饭都得你付钱。,7
陈青青,你是一直都这么不要脸吗？,7
许野,其实我也是这段时间脸皮才变厚的，,7
许野,走吧，,7
许野,就从这儿开始玩起。,7
许野,真挺好看的。,7
许野,扫过去了。,7
许野,走吧。,7
许野,哎。,7
许野,这是什么呀？,7
许野,生日快乐，,7
许野,怎么不喜欢不喜欢我还回去吧。,7
陈青青,谁说我不喜欢呢，,7
陈青青,你再帮我拍几张照片啊。,7
许野,好。来笑一笑。,7
许野,对好看好看好看好看。,7
许野,咱们俩来拍几张合照。,7
顾梦瑶,许野，,8
顾梦瑶,你到底在干什么呀？,8
顾梦瑶,为什么这么久都不找我，,8
顾梦瑶,信不信我真的不原谅你了。,8
顾梦瑶,明天的同学聚会你去吗？,8
许野,不知道,8
顾梦瑶,明天下午你有空吗？,8
顾梦瑶,要不要出去逛街？,8
许野,没空。,8
顾梦瑶,许野，,8
顾梦瑶,这是你逼我的。,8
顾梦瑶,喜欢我的，,8
顾梦瑶,又不止你一个，,8
顾梦瑶,我明天就跟段青俊一起去，,8
顾梦瑶,到时候，我就不信你不吃醋。,8
陈青青,我已经发朋友圈了，,8
陈青青,快去点赞，,8
陈青青,接下来的时间，,8
陈青青,你还要继续演下去。,8
许野,这是另外的价钱，,8
许野,好嘞，,8
许野,女朋友。,8
张虹,儿子快快上网查查分儿，,9
许野,不就是高考查分儿吗？,9
许野,这么激动干嘛,9
张虹,臭小子天大地大，,9
张虹,查分最大。,9
张虹,我们今天专门请了半天假，,9
张虹,特意陪你查分的,9
许向东,就是。,9
许向东,好好好。,9
张虹,快快看，六百零八。,9
许向东,哎呦，,9
许向东,我们老许家祖坟山冒青烟了呀。,9
张虹,哎呀，,9
张虹,快快快老许给爸妈打电话报喜哎。,9
许向东,走走走走走，,9
许野,爸，妈，,9
许野,晚上别给我煮饭了，,9
许野,我要参加个同学聚会。,9
许野,六百零八分，,9
许野,这怎么能不去参加同学聚会呢？,9
NPC,来大家举杯庆祝高考结束。,9
NPC,哎，,9
NPC,许野。,9
NPC,你终于来了，,9
NPC,我就说顾梦瑶来，,9
NPC,你肯定来吧，,9
许野,我来可不是为了顾梦瑶啊，,9
许野,毕竟最后一次聚会了，,9
许野,还是要来的。,9
李楠,哎，,9
李楠,谁不知道你追顾梦瑶追了两年啊，,9
李楠,真是癞蛤蟆，想吃天鹅肉。,9
NPC,你干嘛你？,9
李楠,哎，,9
李楠,我有一个事情要向大家宣布一下。,9
李楠,这一次呢我高考考了五百二十九分，,9
李楠,是全班的最高分。,9
李楠,我的父母啊为我准备了酒席，,9
李楠,大伙有时间呢给我来捧捧场。,9
NPC,好，,9
NPC,还得是班长，,9
NPC,班长以后发达了，,9
NPC,可别忘了老同学啊，,9
李楠,那没问题。,9
NPC,哎，许野你多少分？,9
许野,六百零八呀。,9
NPC,什么，多少？,9
秦志伟,什么多少分？,10
李楠,秦志伟，,10
李楠,别大呼小叫的。,10
李楠,聚会呢，注意点纪律。,10
秦志伟,你丫的高考都结束了，,10
秦志伟,你还在这儿装班长是吧？,10
秦志伟,许野。,10
许野,嗯？,10
秦志伟,你没骗我吧。,10
秦志伟,你还真是个人，,10
秦志伟,你真考六百零八分啊，,10
NPC,大伙儿快看我们的班花来了。,10
NPC,欢迎欢迎班花，,10
NPC,怎么跟段青俊一起来了？,10
NPC,真般配啊，,10
顾梦瑶,他这是怎么了？,10
顾梦瑶,难道真的对我没感觉了？,10
段青俊,哎，,10
段青俊,班长，,10
段青俊,你这次我听说又考了最高分，,10
段青俊,不错呀。,10
李楠,你们考的也不错嘛，,10
段青俊,没发挥好，,10
段青俊,也就五百零六分，,10
李楠,五百零六分。,10
顾梦瑶,哈哈我五百一十一分。,10
NPC,五百一十一分，,10
NPC,真厉害啊，,10
NPC,不愧是班花。,10
段青俊,许野，,10
段青俊,你高考多少分儿？,10
段青俊,我估计连过二本线都难了，,10
刘倩,他英语偏科那么厉害，,10
刘倩,这分数自己说出来都觉得丢人吧。,10
顾梦瑶,刘倩。,10
刘倩,我说错了吗？,10
刘倩,梦瑶以你的能力等你上了大学，,10
刘倩,肯定能遇到比他好更多的男生。,10
顾梦瑶,刘建说的没错，,10
顾梦瑶,他根本配不上我。,10
顾梦瑶,许野，,10
顾梦瑶,我本来还想再给你一次机会，,10
顾梦瑶,现在你没机会了。,10
段青俊,许野，高考没考好，,10
段青俊,就回家复习去。,10
段青俊,你说你来同学聚会干嘛呢？,10
秦志伟,不是你们在这装什么？,10
秦志伟,许野高考考了六百零八分，,10
秦志伟,是我们班最高分！,10
秦志伟,许野高考六百零八分，,11
秦志伟,他才是我们班最高分。,11
段青俊,这这怎么可能？他英语偏科这么厉害，,11
段青俊,怎么可能考这么高，,11
NPC,就是，肯定是骗人的。,11
段青俊,许野。,11
段青俊,你这张截图肯定是假的。,11
段青俊,正好班主任来电话了，,11
段青俊,我现在就当着所有人的面拆穿你的谎言。,11
班主任,许野，,11
班主任,你太厉害了，,11
班主任,六百零八分啊，,11
班主任,你的高考分数是我们学校的最高分，,11
班主任,学校会特批给你一笔奖学金，,11
班主任,有空记得来学校一趟。,11
NPC,天哪，他怎么这么厉害呢？,11
段青俊,这怎么可能？,11
段青俊,哎，你们是不是看...,11
许野,班导，,11
许野,我听见了，,11
许野,明天我抽空去趟学校。,11
顾梦瑶,他居然真的考得这么高，这不可能，,11
顾梦瑶,离开我之后，,11
顾梦瑶,他凭什么过得比我好？,11
顾梦瑶,许野，,11
顾梦瑶,没想到你高考发挥的这么好，,11
顾梦瑶,那你之后准备去哪儿上大学，是省会还是外地啊？,11
许野,这跟你有关系吗？,11
许野,这跟你有关系吗？,12
章若蔚,许野，,12
章若蔚,你怎么跟梦瑶说话呢？,12
章若蔚,你还想不想追梦瑶了？,12
许野,不想了。,12
顾梦瑶,许野，,12
顾梦瑶,你之前跟我说过，,12
顾梦瑶,要跟我在同一个地方上大学的，,12
顾梦瑶,难道你忘了吗？,12
许野,忘了。,12
顾梦瑶,你怎么能这样？,12
顾梦瑶,我们之间是不是有什么误会。,12
许野,没有误会。而且我现在已经有女朋友了。,12
许野,请你离我远一点，,12
许野,我不想让我女朋友误会。,12
顾梦瑶,有女朋友了？,12
刘倩,骗人的吧。,12
刘倩,我们刚刚高考完，,12
刘倩,你哪来的时间找女朋友？,12
顾梦瑶,我也不信，,12
许野,不信拉倒。,12
顾梦瑶,许野，你混蛋。,12
刘倩,梦瑶，,12
刘倩,我们以后别理他了。,12
段青俊,许野，,12
段青俊,你是不是个男人？,12
段青俊,梦瑶都这样低声下气了，,12
段青俊,你还不依不饶呢，,12
段青俊,现在向他道歉！道歉！,12
李楠,就是，分数考那么高，,12
李楠,有什么好嘚瑟的呀？,12
李楠,这以后出了社会，,12
李楠,靠的还得是人脉关系啊。,12
许野,啊对对对，啊是是是。,12
许野,伟哥，我先撤了啊。,12
秦志伟,走，我跟你一块儿走，,12
顾梦瑶,许野。,12
许野,借过。,12
刘倩,走就走呗，神气什么呀？,12
顾梦瑶,可是我觉得刚才许野好帅啊。,12
段青俊,我也帅。,12
顾梦瑶,刘倩，,12
顾梦瑶,你说许野他到底怎么了？,12
顾梦瑶,难不成？,12
顾梦瑶,他真的对我没有感觉了吗？,12
刘倩,没事儿，,12
刘倩,他肯定是吃醋了，,12
刘倩,你回头跟他解释一下，,12
刘倩,把事情说开了就没事儿。,12
顾梦瑶,对，,12
顾梦瑶,一定是这样的。,12
顾梦瑶,他是看我跟段青俊在一起，,12
顾梦瑶,心里吃醋才这样，,12
顾梦瑶,许野，我就知道你心里还是在乎我的。,12
顾梦瑶,好，你说的对。,12
顾梦瑶,我现在就去找他解释清楚。,12
段青俊,梦瑶！,12
刘倩,你等等我！,12
秦志伟,不是许野，,13
秦志伟,这李楠和那段青俊也太不是东西了吧。,13
许野,我都不气，,13
许野,你气什么呀？,13
许野,他们现在还没出社会，,13
许野,等以后，,13
许野,他们出来就知道面子在外面一文不值。,13
秦志伟,许野，,13
秦志伟,我总感觉你变成熟了。,13
许野,必须的呀，毕竟我是你义父，,13
秦志伟,你小子。,13
顾梦瑶,许野，你等等我！,13
许野,真晦气！,13
秦志伟,许野，这是怎么了？,13
秦志伟,他之前恨不得围着顾梦瑶转。,13
秦志伟,怎么现在态度这么冷淡，,13
秦志伟,难道他真的有女朋友了？,13
顾梦瑶,许野，,13
顾梦瑶,你等等我。,13
许野,你有什么事儿吗？,13
顾梦瑶,许野，,13
顾梦瑶,你是不是误会什么了？,13
顾梦瑶,我和刘倩一直在一起呢，,13
顾梦瑶,和段青俊只是在半路上遇见的。,13
许野,你不用跟我解释这么多，,13
许野,我不感兴趣。,13
刘倩,许野，,13
刘倩,你什么意思呀？,13
刘倩,梦瑶都跟你解释了，,13
刘倩,你还想要他怎么样啊？,13
许野,话可不是这么说的吧。,13
许野,当初许也围着顾梦瑶的时候，,13
许野,也没见他脸好脸色。,13
刘倩,你是不是觉得男生追女生只要对女生好，,13
刘倩,我们就一定要同意啊。,13
刘倩,男生追女生，,14
刘倩,只要对女生好，,14
刘倩,我们就一定要同意啊。,14
秦志伟,喜欢就是喜欢，不喜欢就是不接受。,14
秦志伟,她如果不喜欢许野的话，,14
秦志伟,为什么要隔三差五的接受他的早餐？,14
刘倩,接受不代表同意,14
秦志伟,你们什么逻辑啊？,14
许野,行了，,14
许野,我没功夫陪你们，,14
许野,在这浪费时间，,14
许野,没什么事儿，,14
许野,我先走了。,14
顾梦瑶,许野，,14
顾梦瑶,你必须给我一个解释。,14
许野,你是谁啊？,14
许野,我凭什么给你解释，让开！,14
顾梦瑶,我就不让！,14
许野,哎女朋友想我啦！,14
陈青青,我想去看电影，,14
陈青青,我们现在就去，,14
陈青青,我去接你,14
许野,那正好我这有俩神经病一直缠着我的，你快来吧啊。,14
刘倩,梦瑶，,14
刘倩,你不会真的要跟他在一起吧。,14
顾梦瑶,我只是说高中不准备谈对象。,14
顾梦瑶,又没说大学不会谈。,14
刘倩,你真喜欢他呀？,14
顾梦瑶,我就是觉得身边突然少了一个人，,14
顾梦瑶,很没有安全感。,14
顾梦瑶,我就是身边突然少了一个人，,15
顾梦瑶,很没有安全感。,15
刘倩,梦瑶没事的，,15
刘倩,上了大学就好了。,15
刘倩,大学里比学院还要好的，,15
刘倩,高富帅肯定多的是，到时候一定很多人追你的。,15
顾梦瑶,刘倩，,15
顾梦瑶,你说许野，,15
顾梦瑶,他说的是真的吗？,15
刘倩,什么真的呀？,15
顾梦瑶,他真的有女朋友了吗？,15
刘倩,哎，,15
刘倩,肯定是骗人的呀，,15
刘倩,我们才高考完了半个多月，,15
刘倩,他一直在打暑期工，,15
刘倩,哪有时间找女朋友啊？,15
顾梦瑶,秦志伟，许野，,15
顾梦瑶,是不是找了新的女朋友啊，,15
秦志伟,我不知道，这到底有没有女朋友，也不跟我说清楚。,15
许野,好，,15
许野,我等着你。,15
许野,嗯，,15
许野,我女朋友一会儿就来接我了。,15
秦志伟,许野，,15
秦志伟,你不会真的有女朋友了吧。,15
许野,当然是真的了。,15
许野,我要是骗你，以后，,15
许野,我不再看爱情动作片，,15
秦志伟,发这么毒的誓啊。,15
顾梦瑶,许野，,15
顾梦瑶,你一定是骗我的，,15
顾梦瑶,对不对？,15
许野,我没功夫骗你，,15
许野,你还是赶紧走吧，,15
许野,不然让我女朋友误会。,15
刘倩,许野，也就算你有女朋友，,15
刘倩,那也一定没有梦瑶漂亮。,15
段青俊,梦瑶，,16
段青俊,你看你走太快了，,16
段青俊,包都忘拿了谢谢。,16
段青俊,等车呢梦瑶，,16
段青俊,我正好让我爸开奔驰过来呢，,16
段青俊,一会儿让他一起送你回去。,16
刘倩,没想到你家这么有钱啊。,16
段青俊,还行吧，,16
段青俊,我爸在银行上班是银行经理，,16
刘倩,梦瑶，,16
刘倩,我们坐他们家车吧，,16
刘倩,我还没有坐过奔驰呢。,16
顾梦瑶,许野，你是骗我的，,16
顾梦瑶,对不对？,16
顾梦瑶,你是故意编了个女朋友，,16
顾梦瑶,想要骗我的，,16
顾梦瑶,是不是？,16
刘倩,许野一直在欺负梦瑶，,16
刘倩,刚才说要让他女朋友来接他。,16
段青俊,你过分了吧，,16
段青俊,你别仗着梦瑶，,16
段青俊,他喜欢你，,16
段青俊,你就这样玩弄他的感情。,16
许野,谁要玩弄他感情了，,16
许野,我早就跟他说过，,16
许野,我有女朋友，是她对我纠缠不休。,16
段青俊,你怎么可能有女朋友，,16
段青俊,你还说不是故意气梦瑶的，快给梦瑶道歉！,16
许野,你喜欢给他当狗，,16
许野,不是所有人都跟你一样喜欢给她当狗的。,16
李楠,你！,16
李楠,许野，都是同学，,16
李楠,你话说的太过分了！,16
段鹏,青俊。,17
段青俊,爸，,17
段青俊,正好，,17
段青俊,我这有几个同学帮我送他们回家，女同学。,17
顾梦瑶,叔叔好，,17
段鹏,同学们好，青俊啊，你看看有事顺路一刻上车吧。,17
段青俊,得嘞，,17
段鹏,他不是大小姐的男朋友吗？,17
段鹏,居然是青俊的同学，,17
段鹏,或许得好好问问青俊，,17
顾梦瑶,难道是我的错觉吗？,17
顾梦瑶,段青君的爸爸居然对许野点头示意。,17
刘倩,梦瑶还愣着干什么呀？,17
刘倩,我们赶紧走吧。,17
顾梦瑶,嗯要不你先走吧，,17
顾梦瑶,我再等等。,17
刘倩,梦瑶，他都故意那样气你了，,17
刘倩,你还管他干什么呀？,17
顾梦瑶,刘倩。,17
段青俊,就是梦瑶，,17
段青俊,你才是天下最漂亮的，,17
段青俊,就算她找了女朋友，,17
段青俊,肯定也不及你的万分之一。,17
李楠,许野，,17
李楠,你要是想着随便找一个人来冒充女朋友，,17
李楠,故意气梦瑶的话，,17
李楠,那我只能说你太幼稚了，,17
刘倩,就是，我们梦瑶可是班花。,17
NPC,不是哎你们看那什么车，好漂亮啊，,17
NPC,哦，,18
NPC,这是天女下凡吧，,18
NPC,怎么会有这么漂亮的女人，,18
NPC,他好像在看我，,18
NPC,哎，,18
陈青青,走吧。,18
陈青青,许野，,18
陈青青,我们去看电影吧。,18
顾梦瑶,说的是真的，,18
顾梦瑶,他真的有女朋友，,18
刘倩,这可比顾梦瑶优秀多了，,18
刘倩,要是能成为她的闺蜜就好了。,18
段青俊,他是许野女朋友，,18
段青俊,凭什么呀？,18
段青俊,那个美女，,18
段青俊,我自我介绍一下，,18
段青俊,我爸呢是银行的经理，,18
段青俊,我呢,18
段鹏,给我滚一边去。,18
段鹏,大小姐，,18
段鹏,许先生，,18
段鹏,对不起啊，,18
段鹏,我儿子喝多了，,18
段鹏,我代他向你道歉。,18
许野,段经理，,18
许野,家庭教育挺重要的，,18
段鹏,是，您说的是。,18
许野,青青,18
许野,这是伟哥，,18
许野,是我的死党。,18
许野,从小学到高中，,18
许野,我们一直是同学，,18
许野,我们关系很好了。,18
陈青青,你好伟哥。,18
秦志伟,你好你好。,18
许野,伟哥，,18
许野,我就不送你回去了，,18
许野,我要跟我女朋友看电影去呢。,18
秦志伟,哎好好好好好看电影好。,18
段鹏,慢走啊，,18
秦志伟,这小子真能找到女朋友，,19
秦志伟,哎，,19
秦志伟,等会儿我什么时候让他叫我伟哥了。,19
秦志伟,臭小子走的什么桃花运，,19
秦志伟,竟然能找到这么好看一个女朋友。,19
秦志伟,真他妈该死。,19
段鹏,你给我起来，,19
段鹏,谁让你这么狂的？,19
段鹏,我就是一个小小的银行经理，,19
段鹏,很屌吗？,19
段青俊,爸，,19
段青俊,那女的到底谁呀？,19
段鹏,你是不是眼瞎？,19
段鹏,人家开的是劳斯莱斯，,19
段鹏,咱开的是什么？,19
段鹏,更何况我在他面前都得恭恭敬敬的，,19
段鹏,你还敢这么狂，,19
段鹏,不如你来当爹。,19
段青俊,爸，许野总没背景了吧。,19
段鹏,你还有脸说，,19
段鹏,人家年纪轻轻，,19
段鹏,就在我们银行开户，还存了不少钱，,19
段鹏,做投资理财，,19
段鹏,你也配跟人家比。,19
段鹏,再说了，,19
段鹏,他还是大小姐的男朋友。,19
段青俊,他真是许野女朋友,19
段青俊,都见过家长了，你说呢？,19
段青俊,滚回车上去。,19
段鹏,行长，我看到小姐了，,19
陈青青,拉够了吗？,19
许野,不好意思啊，,19
许野,我入戏太深了。,19
许野,嗯，,19
许野,臭小孙走的什么桃花运，竟然能找到这么好看的一个女朋友，,19
许野,真他妈该死，,19
许野,因为爷帅呀，啊？嗯？,19
陈青青,挂掉。,19
陈青青,挂掉啊，,20
陈青青,这是我爸的电话，,20
陈青青,以后只要他给你打电话，,20
陈青青,你都别接。,20
许野,不是你爸怎么会有我的电话号码。,20
陈青青,前两天你是去银行干什么了，,20
许野,办卡呀，,20
许野,他是他的高管啊，,20
陈青青,他是行长，,20
许野,你笑什么？,20
许野,你说你说他会不会把我单独约出来，,20
许野,然后告诉我给你一百万，,20
许野,离我女儿远点儿，,20
陈青青,你在想屁吃，,20
许野,不是，你怎么不问，,20
许野,我会不会答应？,20
陈青青,那你会答应吗？,20
许野,我当然我当然会呀，,20
许野,你别说给我一百万了，,20
许野,你给我一万块，,20
许野,我都听你爸的。,20
陈青青,混蛋。,20
许野,哎，,20
许野,那个我大学在魔都技术学院，,20
许野,你会在魔都吗？,20
陈青青,我在魔都音乐学院，,20
陈青青,那到时候我送你去呗。,20
陈青青,嗯嗯。,20
陈寒松,啊，,20
陈寒松,猪！猪！天杀的二百五，,20
陈寒松,谁也不许碰我的女儿。,20
许野,妈。,21
张虹,昨晚怎么又那么晚回来啊，,21
许野,哎呀。,21
张虹,哦，,21
张虹,对了，,21
张虹,我忘记问你了。,21
许野,嗯，,21
张虹,这暑期工作都干什么呀？,21
许野,哎呀，不是说了吗？,21
许野,服务行业的,21
张虹,具体一点,21
许野,酒吧当男模。,21
张虹,什么，我花钱供你读书，,21
张虹,你就去做那种工作，,21
张虹,这是白养。,21
张虹,以后你别叫我妈。,21
许野,一个月八千。,21
张虹,这话要说回来了啊，,21
张虹,工作不分高低贵贱，,21
张虹,呃，,21
张虹,都是靠双手挣钱嘛，,21
张虹,不丢人。,21
张虹,对了，,21
张虹,你爸能去吗？,21
许向东,你俩能不能好好说话？,21
许野,哎呀，其实我就是在一个青吧里当服务员，,21
许野,人家是正经行业。,21
许野,老板娘对我可好了呢。,21
许野,我吃饱了，,21
许野,先走了妈。,21
陈寒松,我是陈青青的父亲，,21
陈寒松,你是许野，,21
陈寒松,对吧？,21
许野,是我。,21
陈寒松,司机已经在你家楼下了，,21
陈寒松,你坐车来银行一趟，,21
陈寒松,我想跟你聊聊，,21
陈寒松,妈我出去一趟,21
张虹,又去找谁啊？,21
张虹,找我未来的老丈人啊，,21
段鹏,许先生，跟我来吧，,21
段鹏,行长在楼上等你。,21
NPC,段经理好。,22
NPC,先生你好，,22
段鹏,行长，人到了。,22
陈寒松,不要紧张，,22
陈寒松,先坐。,22
许野,我不紧张。,22
许野,哎，,22
许野,你也是刚高考完，高考分数怎么样？,22
许野,还行吧，六百零八分,22
陈寒松,有目标院校吗？,22
许野,魔都金融学院,22
陈寒松,以你的成绩其实可以有更好的选择。,22
许野,我的高考分数要想去魔都的话，,22
许野,选择并不多。,22
陈寒松,所以你首先考虑的是地理位置，,22
陈寒松,是因为知道青青也要去魔都。,22
许野,对。,22
陈寒松,是这样的，,22
陈寒松,晶晶做的决定，,22
陈寒松,我和他妈都没法劝得动。,22
陈寒松,今天叫你来呢，,22
陈寒松,是想跟你商量一下，,22
陈寒松,你能不能换一所目标院校。,22
许野,不能。,22
陈寒松,先不要着急拒绝。,22
陈寒松,我在金融行业也算是有些人脉，,22
陈寒松,如果你答应我的话，,22
陈寒松,等你大学毕业，,22
陈寒松,我给你谋一份体面的工作，,22
陈寒松,应该是不难的。,22
许野,就因为我跟你女儿在同一个城市上大学，你就让我换一所大学上，,22
