原始行号,说话人,文本内容,source,BERTopic主题ID_Erlangshen,事件ID_Hybrid_V5,是否为新事件开始_Hybrid_V5
41,许野,只可惜啊，过去太久了。,2,1,4,FALSE
42,许野,等等，,2,8,4,FALSE
43,许野,这是怎么回事？,2,8,4,FALSE
44,许野,不对不对，怎么这么多年过去了，,2,-1,4,FALSE
45,许野,我还记得这些答案，,2,-1,4,FALSE
46,许野,这难道是重生后的福利吗？,2,-1,4,FALSE
47,许野,我许野重生了！,2,-1,4,FALSE
48,秦志伟,许野，不是说好考完等我？,2,0,4,FALSE
49,秦志伟,你丫的怎么自己走了。你考怎么样？,2,0,4,FALSE
50,许野,伟哥，,2,0,4,FALSE
51,许野,谁能想到，,2,0,4,FALSE
52,许野,我们昨晚还在一起喝酒，,2,0,4,FALSE
53,许野,今天我就重生来见你了。,2,0,4,FALSE
54,许野,还行吧，,2,0,4,FALSE
55,许野,一本呢没啥问题，,2,0,4,FALSE
56,秦志伟,你能考上一本老子跟你姓。,2,1,4,FALSE
57,许野,走走走，问问你爸答不答应。,2,-1,5,TRUE
58,许野,我前世遇到了顾梦瑶，,2,0,5,FALSE
59,许野,你也被老婆绿了，,2,0,5,FALSE
60,许野,咱俩在感情方面的运气还真是不好。,2,0,5,FALSE
61,秦志伟,你一会儿干嘛去啊？,2,0,5,FALSE
62,许野,我要跟我爸妈一起吃饭去。,2,0,5,FALSE
63,秦志伟,什么情况，,2,0,5,FALSE
64,秦志伟,你不追顾梦瑶啊？,2,0,5,FALSE
65,许野,都重生了，,2,0,6,TRUE
66,许野,谁还追他呀？,2,0,6,FALSE
67,许向东,小许，小许，这儿！,3,-1,6,FALSE
68,许野,爸！妈！,3,5,6,FALSE
69,张虹,怎么样？,3,8,6,FALSE
70,张虹,考的怎么样啊？,3,0,6,FALSE
71,许向东,看你这个人，刚不是说了不问的吗？,3,-1,7,TRUE
72,张虹,我关心儿子，,3,0,7,FALSE
73,张虹,关你什么事。,3,0,7,FALSE
74,许向东,你看你妈。,3,0,7,FALSE
75,顾梦瑶,你会不会做饭啊！,3,-1,8,TRUE
76,顾梦瑶,这菜做那么咸，,3,0,8,FALSE
77,顾梦瑶,让人怎么吃啊？,3,0,8,FALSE
78,许野,呃，,3,1,8,FALSE
79,许野,先将就一下吧。,3,1,8,FALSE
80,顾梦瑶,怎么将就啊，饭做的不好，,3,-1,8,FALSE
81,顾梦瑶,还不让人说了是吗？,3,-1,8,FALSE
82,张虹,对不起，,3,0,8,FALSE
83,张虹,我再重做一份。,3,0,8,FALSE
84,顾梦瑶,做什么做啊，,3,1,8,FALSE
85,顾梦瑶,我点外卖。,3,1,8,FALSE
86,许野,前世顾梦瑶嫁给我之后，,3,0,9,TRUE
87,许野,对我爸妈颐指气使，,3,0,9,FALSE
88,许野,他们为了我只能处处忍让，,3,0,9,FALSE
89,许野,五十多岁就白了头发。,3,0,9,FALSE
90,许野,这辈子我要挣钱，,3,0,9,FALSE
91,许野,不会让他们再受苦了。,3,0,9,FALSE
92,许向东,儿子，不管考的怎么样，,3,-1,9,FALSE
93,许向东,咱不要去想了。,3,-1,9,FALSE
94,张虹,对。,3,1,9,FALSE
95,许向东,今天咱父子俩不醉不归。,3,0,10,TRUE
96,张虹,对，,3,-1,10,FALSE
97,张虹,不管考多少分，,3,-1,10,FALSE
98,张虹,你都是我的好儿子。,3,-1,10,FALSE
99,许野,其实我这次考的挺好的，,3,0,10,FALSE
100,许野,上个一本估计没啥问题。,3,0,10,FALSE
101,张虹,啊？！,3,3,11,TRUE
102,许向东,真的假的你？,3,-1,11,FALSE
103,张虹,好，好啊。,3,1,11,FALSE
104,许野,妈，你辛苦了。,3,-1,11,FALSE
105,张虹,说什么怎么这么恶心啊？,3,-1,12,TRUE
106,许向东,真是的。,3,1,12,FALSE
107,许野,就是突然看到你手上的老茧，,3,-1,12,FALSE
108,许野,觉得您为这个家付出的太多了。,3,-1,12,FALSE
109,张虹,这孩子。,3,0,12,FALSE
110,许野,哎呀，,3,1,13,TRUE
111,许野,行了，没事儿啊。,3,1,13,FALSE
112,顾梦瑶,考完了没，给你个机会过来，,3,-1,13,FALSE
113,顾梦瑶,请我吃饭。,3,-1,13,FALSE
114,许野,顾梦瑶。,3,0,13,FALSE
115,许野,前世我跟你表白，,4,0,14,TRUE
116,许野,你都会故意找借口拒绝。,4,0,14,FALSE
117,许向东,哎呀，,4,9,14,FALSE
118,许野,现在看来你只是把我当备胎，没空。,4,0,14,FALSE
119,顾梦瑶,你这样，我以后就不理你了。,4,0,14,FALSE
120,许野,好的，,4,9,14,FALSE
121,张虹,怎么了儿子？,4,0,14,FALSE
122,许野,没事儿，,4,0,14,FALSE
123,许野,我们走吧。,4,0,14,FALSE
124,张虹,好。,4,1,14,FALSE
125,许野,如果我没有记错，,4,0,15,TRUE
126,许野,A股之后，,4,0,15,FALSE
127,许野,最后一个牛市就要来了，,4,0,15,FALSE
128,许野,我得抓紧挣到第一桶金，搭上这辆快车。,4,0,15,FALSE
129,许野,好的。,4,1,15,FALSE
130,顾梦瑶,气死我了。,4,2,15,FALSE
131,刘倩,梦瑶，怎么了？,4,-1,15,FALSE
132,顾梦瑶,你自己看吧，,4,-1,16,TRUE
133,顾梦瑶,许野他居然敢这样回复我。,4,-1,16,FALSE
134,刘倩,他是不是因为你最近对他太冷淡了，,4,0,16,FALSE
135,刘倩,所以故意这样对你呢？,4,0,16,FALSE
136,顾梦瑶,那怎么办呀？,4,0,16,FALSE
137,刘倩,那就看谁耗得过谁了，,4,1,17,TRUE
138,刘倩,等他耗不过你了，,4,1,17,FALSE
139,刘倩,就知道这招对你没有用。,4,1,17,FALSE
140,刘倩,到时候他一定加倍对你好。,4,1,17,FALSE
141,顾梦瑶,那我就不理他了，,4,0,17,FALSE
142,顾梦瑶,我可不是随随便便的女孩子，,4,0,17,FALSE
143,顾梦瑶,哪有那么好追。,4,0,17,FALSE
144,刘倩,没错，,4,0,17,FALSE
145,刘倩,一定要让他知道男人的自尊心是最可笑的东西。,4,0,17,FALSE
146,顾梦瑶,对。,4,1,17,FALSE
147,许野,来喽，,5,0,17,FALSE
148,许野,来，,5,0,17,FALSE
149,许野,趁着先喝一口来，来，公司的项目刚结束，,5,0,17,FALSE
150,许野,我最近要不在家里教你做饭吧，,5,0,17,FALSE
151,许野,以后少点点外卖，吃多了对身体也不好，是吧？,5,0,17,FALSE
152,顾梦瑶,许野，,5,-1,18,TRUE
153,顾梦瑶,你什么意思啊？,5,-1,18,FALSE
154,顾梦瑶,我告诉你，,5,0,18,FALSE
155,顾梦瑶,我在家里就没有做过饭，,5,0,18,FALSE
156,顾梦瑶,凭什么嫁给了你，就要做饭啊？,5,0,18,FALSE
157,许野,我我不是这个意思，,5,-1,18,FALSE
158,许野,我哎。,5,-1,18,FALSE
159,许野,爸妈快来吃饭了，一会上班迟到了啊。,5,-1,18,FALSE
160,许野,来，妈。来，爸。,5,0,18,FALSE
161,张虹,老许快喝，,5,0,18,FALSE
162,许野,只是一碗粥，,5,0,19,TRUE
163,许野,就能让他们这么开心。,5,0,19,FALSE
164,许野,可我以前却总是把坏脾气给家里人，,5,0,19,FALSE
165,许野,把好脾气给顾梦瑶，真是鬼迷心窍了。,5,0,19,FALSE
166,许野,妈，爸，我先出去一趟。,5,0,19,FALSE
167,张虹,老许，来，吃。,5,-1,19,FALSE
168,许野,驾照报了，暑期工找了，,5,-1,20,TRUE
169,许野,银行股票也开户了。,5,-1,20,FALSE
170,许野,接下来就是多积攒些原始资金进入股市了，,5,0,20,FALSE
171,许野,赚钱才是王道嗯，,5,0,20,FALSE
172,NPC,青青。,5,-1,21,TRUE
173,陈寒松,青青！,6,0,21,FALSE
174,陈青青,你说话,6,0,21,FALSE
175,陈寒松,他是谁呀？,6,2,21,FALSE
176,陈青青,我男朋友，抓紧点。,6,0,21,FALSE
177,陈寒松,青青，,6,-1,22,TRUE
178,陈寒松,你别胡闹，,6,-1,22,FALSE
179,陈寒松,你怎么可能有男朋友呢？,6,-1,22,FALSE
180,陈青青,我为什么不能有男朋友，,6,0,22,FALSE
181,陈青青,我有没有男朋友，,6,0,22,FALSE
182,陈青青,你知道吗？,6,0,22,FALSE
183,陈青青,你都不管我，我们走。,6,0,22,FALSE
184,陈寒松,青青。,6,2,22,FALSE
185,陈青青,王姨，去商场。,6,0,22,FALSE
186,王姨,好，,6,4,22,FALSE
187,段鹏,行长，,6,0,22,FALSE
188,段鹏,您回来了。,6,0,22,FALSE
189,陈寒松,刚那男的是谁？,6,-1,23,TRUE
190,陈寒松,来咱们银行干嘛？,6,0,23,FALSE
191,段鹏,他叫许野，,6,0,23,FALSE
192,段鹏,刚才在咱们银行开通证券账户，,6,0,23,FALSE
193,段鹏,说是想买股票。,6,0,23,FALSE
194,陈寒松,年纪轻轻的，,6,-1,23,FALSE
195,陈寒松,还想炒股赚钱，,6,-1,23,FALSE
196,陈寒松,真是白日做梦。,6,-1,23,FALSE
197,陈寒松,江美琳，,6,0,23,FALSE
198,陈寒松,你女儿谈恋爱的事儿是真的还是假的？,6,0,23,FALSE
199,江美琳,谈恋爱？,6,0,23,FALSE
200,江美琳,陈寒松，,6,0,23,FALSE
201,江美琳,你在说什么呀？,6,0,23,FALSE
202,许野,然后呢，,7,-1,23,FALSE
203,许野,刚才那是你爸呀，,7,-1,23,FALSE
204,陈青青,跟你没关系。,7,1,24,TRUE
205,许野,闹呢，,7,0,24,FALSE
206,许野,前面停车，我还要去赚钱呢，,7,0,24,FALSE
207,许野,没功夫陪你玩。,7,0,24,FALSE
208,陈青青,一万，陪我一天。,7,0,24,FALSE
209,许野,好嘞。,7,1,24,FALSE
210,许野,扫码还是现金。,7,-1,24,FALSE
211,许野,你爸妈是不是离婚了？,7,0,24,FALSE
212,陈青青,你是怎么知道的？,7,0,24,FALSE
213,许野,我没别的意思啊，,7,0,25,TRUE
214,许野,这是我刚才推测出来的。,7,0,25,FALSE
215,许野,刚才明明是你抓着我的手，,7,0,25,FALSE
216,许野,你手心里却全是手汗，,7,0,25,FALSE
217,许野,这说明你是一个戒备性很强的人，,7,0,25,FALSE
218,许野,再结合你刚刚跟你爸说话的态度，,7,0,25,FALSE
219,许野,这很容易就推测出来了。,7,0,25,FALSE
220,陈青青,你不去当侦探，,7,0,25,FALSE
221,陈青青,还真是可惜了。,7,0,25,FALSE
222,许野,今天你生日，,7,0,25,FALSE
223,许野,你爸妈没有时间陪你，,7,0,25,FALSE
224,许野,所以你有报复他们的心思，,7,0,25,FALSE
225,许野,要不要我帮你把这场戏演完。,7,0,25,FALSE
226,陈青青,需要。,7,1,25,FALSE
227,许野,那走呗，去游乐场，,7,0,25,FALSE
228,许野,然后拍照片发朋友圈呃，,7,0,25,FALSE
229,许野,提前说好啊，,7,0,25,FALSE
230,许野,那个游乐场还有吃饭都得你付钱。,7,0,25,FALSE
231,陈青青,你是一直都这么不要脸吗？,7,0,25,FALSE
232,许野,其实我也是这段时间脸皮才变厚的，,7,0,26,TRUE
233,许野,走吧，,7,0,26,FALSE
234,许野,就从这儿开始玩起。,7,0,26,FALSE
235,许野,真挺好看的。,7,1,26,FALSE
236,许野,扫过去了。,7,-1,26,FALSE
237,许野,走吧。,7,1,26,FALSE
238,许野,哎。,7,1,26,FALSE
239,许野,这是什么呀？,7,2,26,FALSE
240,许野,生日快乐，,7,0,26,FALSE
241,许野,怎么不喜欢不喜欢我还回去吧。,7,0,26,FALSE
242,陈青青,谁说我不喜欢呢，,7,1,26,FALSE
243,陈青青,你再帮我拍几张照片啊。,7,1,26,FALSE
244,许野,好。来笑一笑。,7,1,26,FALSE
245,许野,对好看好看好看好看。,7,1,26,FALSE
246,许野,咱们俩来拍几张合照。,7,1,26,FALSE
247,顾梦瑶,许野，,8,0,26,FALSE
248,顾梦瑶,你到底在干什么呀？,8,0,26,FALSE
249,顾梦瑶,为什么这么久都不找我，,8,0,26,FALSE
250,顾梦瑶,信不信我真的不原谅你了。,8,0,26,FALSE
251,顾梦瑶,明天的同学聚会你去吗？,8,-1,26,FALSE
252,许野,不知道,8,0,26,FALSE
253,顾梦瑶,明天下午你有空吗？,8,0,27,TRUE
254,顾梦瑶,要不要出去逛街？,8,0,27,FALSE
255,许野,没空。,8,1,27,FALSE
256,顾梦瑶,许野，,8,-1,28,TRUE
257,顾梦瑶,这是你逼我的。,8,-1,28,FALSE
258,顾梦瑶,喜欢我的，,8,0,28,FALSE
259,顾梦瑶,又不止你一个，,8,0,28,FALSE
260,顾梦瑶,我明天就跟段青俊一起去，,8,0,28,FALSE
261,顾梦瑶,到时候，我就不信你不吃醋。,8,0,28,FALSE
262,陈青青,我已经发朋友圈了，,8,0,28,FALSE
263,陈青青,快去点赞，,8,0,28,FALSE
264,陈青青,接下来的时间，,8,0,28,FALSE
265,陈青青,你还要继续演下去。,8,0,28,FALSE
266,许野,这是另外的价钱，,8,-1,28,FALSE
267,许野,好嘞，,8,-1,28,FALSE
268,许野,女朋友。,8,-1,28,FALSE
269,张虹,儿子快快上网查查分儿，,9,0,28,FALSE
270,许野,不就是高考查分儿吗？,9,-1,29,TRUE
271,许野,这么激动干嘛,9,0,29,FALSE
272,张虹,臭小子天大地大，,9,-1,30,TRUE
273,张虹,查分最大。,9,-1,30,FALSE
274,张虹,我们今天专门请了半天假，,9,-1,30,FALSE
275,张虹,特意陪你查分的,9,-1,30,FALSE
276,许向东,就是。,9,1,31,TRUE
277,许向东,好好好。,9,1,31,FALSE
278,张虹,快快看，六百零八。,9,-1,32,TRUE
279,许向东,哎呦，,9,0,32,FALSE
280,许向东,我们老许家祖坟山冒青烟了呀。,9,0,32,FALSE
281,张虹,哎呀，,9,-1,32,FALSE
282,张虹,快快快老许给爸妈打电话报喜哎。,9,-1,32,FALSE
283,许向东,走走走走走，,9,-1,32,FALSE
284,许野,爸，妈，,9,1,33,TRUE
285,许野,晚上别给我煮饭了，,9,1,33,FALSE
286,许野,我要参加个同学聚会。,9,1,33,FALSE
287,许野,六百零八分，,9,0,33,FALSE
288,许野,这怎么能不去参加同学聚会呢？,9,0,33,FALSE
289,NPC,来大家举杯庆祝高考结束。,9,0,34,TRUE
290,NPC,哎，,9,0,34,FALSE
291,NPC,许野。,9,0,34,FALSE
292,NPC,你终于来了，,9,0,34,FALSE
293,NPC,我就说顾梦瑶来，,9,0,34,FALSE
294,NPC,你肯定来吧，,9,0,34,FALSE
295,许野,我来可不是为了顾梦瑶啊，,9,0,35,TRUE
296,许野,毕竟最后一次聚会了，,9,0,35,FALSE
297,许野,还是要来的。,9,0,35,FALSE
298,李楠,哎，,9,0,35,FALSE
299,李楠,谁不知道你追顾梦瑶追了两年啊，,9,0,35,FALSE
300,李楠,真是癞蛤蟆，想吃天鹅肉。,9,0,35,FALSE
301,NPC,你干嘛你？,9,-1,36,TRUE
302,李楠,哎，,9,1,36,FALSE
303,李楠,我有一个事情要向大家宣布一下。,9,1,36,FALSE
304,李楠,这一次呢我高考考了五百二十九分，,9,0,36,FALSE
305,李楠,是全班的最高分。,9,0,36,FALSE
306,李楠,我的父母啊为我准备了酒席，,9,0,36,FALSE
307,李楠,大伙有时间呢给我来捧捧场。,9,0,36,FALSE
308,NPC,好，,9,0,36,FALSE
309,NPC,还得是班长，,9,0,36,FALSE
310,NPC,班长以后发达了，,9,0,36,FALSE
311,NPC,可别忘了老同学啊，,9,0,36,FALSE
312,李楠,那没问题。,9,1,36,FALSE
313,NPC,哎，许野你多少分？,9,0,37,TRUE
314,许野,六百零八呀。,9,0,37,FALSE
315,NPC,什么，多少？,9,0,37,FALSE
316,秦志伟,什么多少分？,10,0,37,FALSE
317,李楠,秦志伟，,10,-1,38,TRUE
318,李楠,别大呼小叫的。,10,-1,38,FALSE
319,李楠,聚会呢，注意点纪律。,10,1,38,FALSE
320,秦志伟,你丫的高考都结束了，,10,0,39,TRUE
321,秦志伟,你还在这儿装班长是吧？,10,0,39,FALSE
322,秦志伟,许野。,10,0,39,FALSE
323,许野,嗯？,10,3,39,FALSE
324,秦志伟,你没骗我吧。,10,1,40,TRUE
325,秦志伟,你还真是个人，,10,1,40,FALSE
326,秦志伟,你真考六百零八分啊，,10,1,40,FALSE
327,NPC,大伙儿快看我们的班花来了。,10,-1,41,TRUE
328,NPC,欢迎欢迎班花，,10,0,41,FALSE
329,NPC,怎么跟段青俊一起来了？,10,0,41,FALSE
330,NPC,真般配啊，,10,0,41,FALSE
331,顾梦瑶,他这是怎么了？,10,0,41,FALSE
332,顾梦瑶,难道真的对我没感觉了？,10,0,41,FALSE
333,段青俊,哎，,10,-1,42,TRUE
334,段青俊,班长，,10,-1,42,FALSE
335,段青俊,你这次我听说又考了最高分，,10,-1,42,FALSE
336,段青俊,不错呀。,10,-1,42,FALSE
337,李楠,你们考的也不错嘛，,10,0,42,FALSE
338,段青俊,没发挥好，,10,1,43,TRUE
339,段青俊,也就五百零六分，,10,1,43,FALSE
340,李楠,五百零六分。,10,0,43,FALSE
341,顾梦瑶,哈哈我五百一十一分。,10,1,44,TRUE
342,NPC,五百一十一分，,10,0,44,FALSE
343,NPC,真厉害啊，,10,0,44,FALSE
344,NPC,不愧是班花。,10,0,44,FALSE
345,段青俊,许野，,10,0,44,FALSE
346,段青俊,你高考多少分儿？,10,0,44,FALSE
347,段青俊,我估计连过二本线都难了，,10,0,44,FALSE
348,刘倩,他英语偏科那么厉害，,10,0,44,FALSE
349,刘倩,这分数自己说出来都觉得丢人吧。,10,0,44,FALSE
350,顾梦瑶,刘倩。,10,0,44,FALSE
351,刘倩,我说错了吗？,10,0,45,TRUE
352,刘倩,梦瑶以你的能力等你上了大学，,10,0,45,FALSE
353,刘倩,肯定能遇到比他好更多的男生。,10,0,45,FALSE
354,顾梦瑶,刘建说的没错，,10,-1,46,TRUE
355,顾梦瑶,他根本配不上我。,10,-1,46,FALSE
356,顾梦瑶,许野，,10,0,46,FALSE
357,顾梦瑶,我本来还想再给你一次机会，,10,0,46,FALSE
358,顾梦瑶,现在你没机会了。,10,0,46,FALSE
359,段青俊,许野，高考没考好，,10,-1,47,TRUE
360,段青俊,就回家复习去。,10,-1,47,FALSE
361,段青俊,你说你来同学聚会干嘛呢？,10,0,47,FALSE
362,秦志伟,不是你们在这装什么？,10,0,48,TRUE
363,秦志伟,许野高考考了六百零八分，,10,0,48,FALSE
364,秦志伟,是我们班最高分！,10,0,48,FALSE
365,秦志伟,许野高考六百零八分，,11,-1,48,FALSE
366,秦志伟,他才是我们班最高分。,11,-1,48,FALSE
367,段青俊,这这怎么可能？他英语偏科这么厉害，,11,-1,48,FALSE
368,段青俊,怎么可能考这么高，,11,-1,48,FALSE
369,NPC,就是，肯定是骗人的。,11,1,48,FALSE
370,段青俊,许野。,11,0,49,TRUE
371,段青俊,你这张截图肯定是假的。,11,0,49,FALSE
372,段青俊,正好班主任来电话了，,11,-1,49,FALSE
373,段青俊,我现在就当着所有人的面拆穿你的谎言。,11,-1,49,FALSE
374,班主任,许野，,11,0,50,TRUE
375,班主任,你太厉害了，,11,0,50,FALSE
376,班主任,六百零八分啊，,11,0,50,FALSE
377,班主任,你的高考分数是我们学校的最高分，,11,0,50,FALSE
378,班主任,学校会特批给你一笔奖学金，,11,0,50,FALSE
379,班主任,有空记得来学校一趟。,11,0,50,FALSE
380,NPC,天哪，他怎么这么厉害呢？,11,-1,50,FALSE
381,段青俊,这怎么可能？,11,0,50,FALSE
382,段青俊,哎，你们是不是看...,11,-1,50,FALSE
383,许野,班导，,11,-1,51,TRUE
384,许野,我听见了，,11,-1,51,FALSE
385,许野,明天我抽空去趟学校。,11,-1,51,FALSE
386,顾梦瑶,他居然真的考得这么高，这不可能，,11,0,51,FALSE
387,顾梦瑶,离开我之后，,11,0,51,FALSE
388,顾梦瑶,他凭什么过得比我好？,11,0,51,FALSE
389,顾梦瑶,许野，,11,0,51,FALSE
390,顾梦瑶,没想到你高考发挥的这么好，,11,0,51,FALSE
391,顾梦瑶,那你之后准备去哪儿上大学，是省会还是外地啊？,11,0,51,FALSE
392,许野,这跟你有关系吗？,11,0,52,TRUE
393,许野,这跟你有关系吗？,12,0,52,FALSE
394,章若蔚,许野，,12,1,52,FALSE
395,章若蔚,你怎么跟梦瑶说话呢？,12,1,52,FALSE
396,章若蔚,你还想不想追梦瑶了？,12,0,52,FALSE
397,许野,不想了。,12,1,52,FALSE
398,顾梦瑶,许野，,12,-1,52,FALSE
399,顾梦瑶,你之前跟我说过，,12,-1,52,FALSE
400,顾梦瑶,要跟我在同一个地方上大学的，,12,-1,52,FALSE
401,顾梦瑶,难道你忘了吗？,12,-1,52,FALSE
402,许野,忘了。,12,1,52,FALSE
403,顾梦瑶,你怎么能这样？,12,-1,53,TRUE
404,顾梦瑶,我们之间是不是有什么误会。,12,1,53,FALSE
405,许野,没有误会。而且我现在已经有女朋友了。,12,1,53,FALSE
406,许野,请你离我远一点，,12,-1,53,FALSE
407,许野,我不想让我女朋友误会。,12,-1,53,FALSE
408,顾梦瑶,有女朋友了？,12,0,53,FALSE
409,刘倩,骗人的吧。,12,1,54,TRUE
410,刘倩,我们刚刚高考完，,12,-1,54,FALSE
411,刘倩,你哪来的时间找女朋友？,12,-1,54,FALSE
412,顾梦瑶,我也不信，,12,0,55,TRUE
413,许野,不信拉倒。,12,1,55,FALSE
414,顾梦瑶,许野，你混蛋。,12,0,55,FALSE
415,刘倩,梦瑶，,12,0,56,TRUE
416,刘倩,我们以后别理他了。,12,0,56,FALSE
417,段青俊,许野，,12,0,56,FALSE
418,段青俊,你是不是个男人？,12,0,56,FALSE
419,段青俊,梦瑶都这样低声下气了，,12,0,56,FALSE
420,段青俊,你还不依不饶呢，,12,0,56,FALSE
421,段青俊,现在向他道歉！道歉！,12,0,56,FALSE
422,李楠,就是，分数考那么高，,12,0,57,TRUE
423,李楠,有什么好嘚瑟的呀？,12,0,57,FALSE
424,李楠,这以后出了社会，,12,-1,57,FALSE
425,李楠,靠的还得是人脉关系啊。,12,-1,57,FALSE
426,许野,啊对对对，啊是是是。,12,1,57,FALSE
427,许野,伟哥，我先撤了啊。,12,-1,57,FALSE
428,秦志伟,走，我跟你一块儿走，,12,-1,57,FALSE
429,顾梦瑶,许野。,12,0,57,FALSE
430,许野,借过。,12,2,57,FALSE
431,刘倩,走就走呗，神气什么呀？,12,0,58,TRUE
432,顾梦瑶,可是我觉得刚才许野好帅啊。,12,-1,58,FALSE
433,段青俊,我也帅。,12,-1,58,FALSE
434,顾梦瑶,刘倩，,12,0,59,TRUE
435,顾梦瑶,你说许野他到底怎么了？,12,0,59,FALSE
436,顾梦瑶,难不成？,12,-1,59,FALSE
437,顾梦瑶,他真的对我没有感觉了吗？,12,0,59,FALSE
438,刘倩,没事儿，,12,0,60,TRUE
439,刘倩,他肯定是吃醋了，,12,0,60,FALSE
440,刘倩,你回头跟他解释一下，,12,0,60,FALSE
441,刘倩,把事情说开了就没事儿。,12,0,60,FALSE
442,顾梦瑶,对，,12,1,60,FALSE
443,顾梦瑶,一定是这样的。,12,1,60,FALSE
444,顾梦瑶,他是看我跟段青俊在一起，,12,0,60,FALSE
445,顾梦瑶,心里吃醋才这样，,12,0,60,FALSE
446,顾梦瑶,许野，我就知道你心里还是在乎我的。,12,0,60,FALSE
447,顾梦瑶,好，你说的对。,12,0,60,FALSE
448,顾梦瑶,我现在就去找他解释清楚。,12,-1,60,FALSE
449,段青俊,梦瑶！,12,0,60,FALSE
450,刘倩,你等等我！,12,0,60,FALSE
451,秦志伟,不是许野，,13,0,61,TRUE
452,秦志伟,这李楠和那段青俊也太不是东西了吧。,13,0,61,FALSE
453,许野,我都不气，,13,0,61,FALSE
454,许野,你气什么呀？,13,0,61,FALSE
455,许野,他们现在还没出社会，,13,0,61,FALSE
456,许野,等以后，,13,0,61,FALSE
457,许野,他们出来就知道面子在外面一文不值。,13,0,61,FALSE
458,秦志伟,许野，,13,0,61,FALSE
459,秦志伟,我总感觉你变成熟了。,13,0,61,FALSE
460,许野,必须的呀，毕竟我是你义父，,13,0,61,FALSE
461,秦志伟,你小子。,13,0,61,FALSE
462,顾梦瑶,许野，你等等我！,13,0,61,FALSE
463,许野,真晦气！,13,4,61,FALSE
464,秦志伟,许野，这是怎么了？,13,0,62,TRUE
465,秦志伟,他之前恨不得围着顾梦瑶转。,13,1,62,FALSE
466,秦志伟,怎么现在态度这么冷淡，,13,-1,62,FALSE
467,秦志伟,难道他真的有女朋友了？,13,-1,62,FALSE
468,顾梦瑶,许野，,13,-1,63,TRUE
469,顾梦瑶,你等等我。,13,-1,63,FALSE
470,许野,你有什么事儿吗？,13,0,63,FALSE
471,顾梦瑶,许野，,13,0,63,FALSE
472,顾梦瑶,你是不是误会什么了？,13,0,63,FALSE
473,顾梦瑶,我和刘倩一直在一起呢，,13,0,63,FALSE
474,顾梦瑶,和段青俊只是在半路上遇见的。,13,0,63,FALSE
475,许野,你不用跟我解释这么多，,13,-1,64,TRUE
476,许野,我不感兴趣。,13,-1,64,FALSE
477,刘倩,许野，,13,-1,64,FALSE
478,刘倩,你什么意思呀？,13,-1,64,FALSE
479,刘倩,梦瑶都跟你解释了，,13,0,64,FALSE
480,刘倩,你还想要他怎么样啊？,13,0,64,FALSE
